GAE/ACALTF,GAE/ACPHIR,GAE/ACPSIR,GAE/IAIRSPK,GAE/THETAR,GAE/UBODYF,GAE/VBODYF,GAE/WBODYF,GAE/Z1DOTF,zzSCENARIO/SYSTEM_TIME,
604.711,-0.0232924,6.19994,158.016,0.681963,263.412,2.37381,53.3926,-124.517,30.83,
618.468,-0.0215904,6.20338,157.779,0.687408,263.05,1.52751,53.4449,-125.528,30.95,
632.337,-0.0198332,6.20679,157.532,0.692722,262.681,0.708898,53.4485,-126.533,31.05,
646.315,-0.0179485,6.21015,157.277,0.697992,262.297,-0.0691048,53.436,-127.528,31.16,
660.402,-0.0159163,6.2134,157.013,0.703158,261.902,-0.795814,53.3947,-128.51,31.27,
674.596,-0.0137466,6.21652,156.741,0.708152,261.498,-1.46247,53.3155,-129.477,31.38,
688.896,-0.0114532,6.21947,156.46,0.711906,261.125,-2.06206,53.0046,-130.419,31.49,
701.982,-0.0092292,6.22204,156.199,0.708959,261.071,-2.58835,51.0362,-131.31,31.6,
716.468,-0.0067034,6.22461,155.912,0.704388,261.091,-3.03654,48.6106,-132.115,31.71,
731.034,-0.00418051,6.22687,155.634,0.699586,261.078,-3.40694,46.3293,-132.754,31.82,
746.995,-0.00233483,6.22891,155.339,0.69448,261.042,-3.75206,44.1513,-133.24,31.93,
760.337,-0.0022094,6.23026,155.1,0.68959,260.99,-4.05282,42.255,-133.554,32.03,
775.042,-0.00306479,6.23146,154.843,0.683953,260.907,-4.38238,40.0824,-133.78,32.15,
789.763,-0.0047258,6.23249,154.571,0.677508,260.814,-4.64805,38.1867,-133.848,32.26,
804.484,-0.00653533,6.23314,154.329,0.671339,260.708,-4.87711,36.3786,-133.791,32.37,
819.193,-0.00887039,6.23366,154.115,0.665516,260.604,-5.05155,34.8074,-133.635,32.47,
833.877,-0.011452,6.23397,153.888,0.658871,260.483,-5.20432,33.1524,-133.355,32.58,
848.525,-0.0142766,6.23406,153.67,0.652783,260.34,-5.31621,31.7204,-132.977,32.69,
863.124,-0.0173086,6.23393,153.459,0.647869,260.129,-5.39044,30.6889,-132.444,32.81,
877.665,-0.0205102,6.23358,153.255,0.642712,259.959,-5.41511,29.8522,-131.94,32.91,
890.829,-0.0238758,6.23302,153.06,0.637584,259.775,-5.40349,29.0023,-131.329,33.02,
906.55,-0.027455,6.23218,152.871,0.63491,259.531,-5.35395,28.7849,-130.674,33.13,
920.884,-0.0312796,6.23099,152.685,0.635878,259.185,-5.271,29.5355,-129.996,33.24,
935.143,-0.0353328,6.22949,152.499,0.639506,258.752,-5.16197,30.9863,-129.341,33.35,
948.047,-0.038889,6.22793,152.327,0.643912,258.285,-5.00224,32.5974,-128.759,33.46,
962.186,-0.0410221,6.22615,152.116,0.64839,257.813,-4.75979,34.1164,-128.276,33.57,
976.276,-0.0420217,6.22405,151.917,0.652962,257.336,-4.45897,35.5526,-127.885,33.68,
990.327,-0.0423578,6.22219,151.733,0.656196,256.924,-4.14166,36.607,-127.593,33.78,
1005.62,-0.0425273,6.2199,151.509,0.657502,256.536,-3.71743,37.0721,-127.33,33.9,
1018.34,-0.0422185,6.21781,151.304,0.655932,256.275,-3.26617,36.8357,-127.107,34.01,
1032.31,-0.040229,6.21603,151.121,0.651449,256.163,-2.76107,35.7811,-126.91,34.11,
1046.26,-0.036496,6.21401,150.925,0.645945,256.056,-2.13227,34.5302,-126.634,34.22,
1060.17,-0.0319685,6.21184,150.738,0.639906,255.96,-1.44633,33.2432,-126.276,34.33,
1074.03,-0.0271552,6.20951,150.558,0.633621,255.858,-0.651386,31.8756,-125.792,34.45,
1087.84,-0.0223324,6.20701,150.387,0.627147,255.765,0.104681,30.6749,-125.263,34.56,
1101.59,-0.0176467,6.20441,150.226,0.620494,255.682,0.80292,29.6257,-124.713,34.66,
1115.27,-0.0131698,6.20174,150.074,0.613673,255.595,1.57079,28.5175,-124.037,34.77,
1128.87,-0.00892829,6.19905,149.932,0.606696,255.512,2.3261,27.4567,-123.288,34.88,
1142.38,-0.0049217,6.19641,149.8,0.599571,255.435,3.05662,26.4423,-122.47,34.99,
1155.8,-0.00113344,6.19388,149.678,0.592493,255.362,3.75057,25.5102,-121.588,35.1,
1167.92,0.00214441,6.1917,149.577,0.58563,255.289,4.39797,24.7074,-120.646,35.21,
1182.33,0.005906,6.18931,149.466,0.578947,255.221,4.99037,24.0173,-119.652,35.32,
1195.43,0.00922779,6.18737,149.376,0.572415,255.158,5.52054,23.4252,-118.612,35.43,
