GAE/ACALTF,GAE/ACPHIR,GAE/ACPSIR,GAE/IAIRSPK,GAE/THETAR,GAE/UBODYF,GAE/VBODYF,GAE/WBODYF,GAE/Z1DOTF,JoystickX,JoystickY,zzSCENARIO/SYSTEM_TIME,
1.00282,0,0,127.855,0,215.578,0,0.0304024,0,0,0,30.25,
1.00282,0,0,128.252,0,216.247,0,0.0304159,0,0,0,30.37,
1.00282,0,0,128.649,0.000104906,216.916,0,0.0479182,0,0,0,30.48,
1.00282,0,0,129.045,0.000674806,217.585,0,0.160214,0,0,0,30.58,
1.00283,0,0,129.441,0.00193693,218.251,0,0.420758,-0.00198137,0,0,30.69,
1.00414,0,0,129.836,0.00404317,218.916,0,0.864765,-0.0203546,0,0,30.81,
1.00761,0,0,130.231,0.00713845,219.578,0,1.52604,-0.0414289,0,0,30.91,
1.01297,0,0,130.589,0.0109453,220.175,0,2.4405,-0.0666095,0,0,31.02,
1.02173,0,0,130.983,0.0163956,220.882,0,3.65124,-0.0960469,0,0,31.13,
1.03397,0,0,131.378,0.0240971,221.517,0,5.20838,-0.13052,0,0,31.24,
1.05029,0,0,131.774,0.0321459,222.077,0,6.97421,-0.167027,0,0,31.35,
1.07022,0,0,132.174,0.0424747,222.668,0,9.27974,-0.183514,0,0,31.46,
1.09178,0,0,132.58,0.0534598,223.237,0,11.7343,-0.214776,0,0,31.57,
1.11779,0,0,132.995,0.0663359,223.769,0,14.6052,-0.259971,0,0,31.68,
1.15003,0,0,133.425,0.0818694,224.242,0,18.4262,-0.328856,0,0,31.79,
1.18992,0,0,133.874,0.100654,224.625,0,22.2859,-0.398146,0,0,31.9,
1.23925,0,0,134.345,0.123423,224.859,0,27.3921,-0.498627,0,0,32,
1.3036,0,0,134.85,0.152559,224.833,0,33.8939,-0.667101,0,0,32.12,
1.39044,0,0,135.421,0.1912,224.345,0,42.5063,-0.902098,0,0,32.23,
1.49556,0,0,136.115,0.242545,223.08,0,53.9322,-1.22443,0,0,32.33,
1.6709,0,0,136.952,0.308185,220.693,0,67.9547,-2.1896,0,0,32.44,
1.94399,0,0,137.88,0.353927,218.592,0,79.1642,-1.50276,0,0,32.55,
2.17585,0,0,138.796,0.353927,220.596,0,78.148,-3.15059,0,0,32.66,
2.60866,0,0,139.615,0.353927,222.598,0,77.0279,-4.89516,0,0,32.77,
3.23861,0,0,140.501,0.353927,224.415,0,75.7984,-6.74118,0,0,32.88,
4.07607,0,0,141.449,0.353927,226.585,0,74.4708,-8.67571,0,0,32.99,
5.13031,0,0,142.301,0.353927,228.553,0,73.0692,-10.6725,0,0,33.1,
