Time,Steering wheel angle,Left wheel RPM,Right wheel RPM
151,161.5841591059308,313.8541379772175,246.3712617062542
152,164.27850036827343,314.28169825382133,245.94370142965036
153,166.79628877414893,314.6772188822236,245.5481808012481
154,169.1296046201263,315.0402962136088,245.1851034698629
155,171.27103327644218,315.3705863359352,244.8548133475365
156,173.2136801714193,315.6677954367641,244.55760424670765
157,174.95118440072795,315.9316705203633,244.29372916310834
158,176.47773093579536,316.16199057791744,244.06340910555429
159,177.7880614092434,316.3585583012169,243.8668413822548
160,178.87748345885578,316.52119242156203,243.70420726190963
161,179.74187861522705,316.64972074684385,243.5756789366278
162,180.37770872191717,316.74397396089296,243.4814257225787
163,180.78202088062503,316.80378024026146,243.42161944321023
164,180.95245091758264,316.82896073464804,243.39643894882366
165,180.8872253710595,316.81932594822996,243.40607373524173
166,180.5851620035361,316.77467305026414,243.45072663320752
167,180.04566884575715,316.6947841344985,243.53061554897323
168,179.2687417834861,316.5794254382259,243.64597424524572
169,178.25496070136293,316.4283475232649,243.79705216020673
170,177.00548420178671,316.2412864127793,243.98411327069235
171,175.5220429202125,316.0179656697071,244.2074340137645
172,173.80693146165254,315.7580993946633,244.46730028880836
173,171.86299898649017,315.4613961135411,244.76400356993057
174,169.69363847695976,315.12756351767496,245.09783616579665
175,167.3027747187909,314.75631401233795,245.46908567113368
176,164.694851035564,314.34737102253115,245.87802866094057
177,161.87481481627216,313.90047599845855,246.3249236850131
178,158.8481018794057,313.41539605674484,246.81000362672685
179,155.62061971959415,312.8919321873115,247.33346749616013
180,152.1987296854164,312.3299279498512,247.89547173362052
181,148.58922813944324,311.7292785779727,248.49612110549896
182,144.79932665389086,311.0899404033236,249.13545928014807
183,140.8366312974248,310.41194050627007,249.81345917720157
184,136.70912107068418,309.69538649404495,250.53001318942677
185,132.4251255499516,308.9404763016306,251.28492338184103
186,127.99330180010988,308.1475079050807,252.077891778391
187,123.42261061957413,307.31688883152754,252.9085108519441
188,118.72229218126388,306.44914534488896,253.77625433858267
189,113.90184113490508,305.54493118137935,254.6804685020922
190,108.9709812369871,304.605035704542,255.62036397892967
191,103.93963957557773,303.63039134585046,256.59500833762127
192,98.81792045789894,302.6220801942599,257.60331948921174
193,93.61607902908256,301.58133959670994,258.6440600867617
194,88.34449469088014,300.50956663185934,259.7158330516123
195,83.01364438926983,299.4083213216359,260.8170783618357
196,77.63407583989301,298.27932844990386,261.9460712335678
197,72.21638076008308,297.1244778650996,263.10092181837206
198,66.771168175883,295.9458231544338,264.27957652903785
199,61.30903787192648,294.7455785915425,265.47982109192924
200,55.84055405135774,293.52611427756585,266.6992854059058
201,50.37621927209167,292.28994941769844,267.9354502657733
202,44.9264487246895,291.03974370132556,269.1856559821461
203,39.50154491591853,289.77828678381184,270.4471128996598
204,34.11167282071579,288.5084859015099,271.71691378196175
205,28.76683556375863,287.2333516880879,272.99204799538376
